distribution,model,hamiltonian_error_clean,step_size
high_dimensional_gaussian,HMC,0.0019090899999999998,0.1
high_dimensional_gaussian,HMC,0.00215668,0.1
high_dimensional_gaussian,HMC,0.0028185,0.1
high_dimensional_gaussian,HMC,0.00126936,0.1
high_dimensional_gaussian,NNgHMC,0.0010469,0.1
high_dimensional_gaussian,NNgHMC,0.00217876,0.1
high_dimensional_gaussian,NNgHMC,0.00276008,0.1
high_dimensional_gaussian,NNgHMC,0.0038819,0.1
high_dimensional_gaussian,NNgHMC,0.00284684,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.00072827,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.007005479999999999,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.02399339,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.05263359,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.08999413,0.1
high_dimensional_gaussian,NNODEgHMC,0.00072827,0.1
high_dimensional_gaussian,NNODEgHMC,0.0016333,0.1
high_dimensional_gaussian,NNODEgHMC,0.00245515,0.1
high_dimensional_gaussian,NNODEgHMC,0.00412204,0.1
high_dimensional_gaussian,NNODEgHMC,0.0038794699999999994,0.1
normal_normal,HMC,0.07005461,0.1
normal_normal,HMC,0.058225549999999994,0.1
normal_normal,HMC,0.06326535,0.1
normal_normal,HMC,0.21983509999999998,0.1
normal_normal,HMC,0.19544281,0.1
normal_normal,NNgHMC,0.10794573000000002,0.1
normal_normal,NNgHMC,0.24012735,0.1
normal_normal,NNgHMC,0.46074386999999994,0.1
normal_normal,NNgHMC,0.27328166,0.1
normal_normal,NNgHMC,0.29905942,0.1
normal_normal,Explicit NNODEgHMC,0.06897116,0.1
normal_normal,Explicit NNODEgHMC,0.16455382,0.1
normal_normal,Explicit NNODEgHMC,0.63919604,0.1
normal_normal,Explicit NNODEgHMC,0.91087186,0.1
normal_normal,Explicit NNODEgHMC,1.8377107,0.1
normal_normal,NNODEgHMC,0.06897116,0.1
normal_normal,NNODEgHMC,0.14200449,0.1
normal_normal,NNODEgHMC,0.43632424000000003,0.1
normal_normal,NNODEgHMC,0.29778385,0.1
normal_normal,NNODEgHMC,0.30899537,0.1
gaussian,HMC,0.03549042,0.3
gaussian,HMC,0.11112186,0.3
gaussian,HMC,0.13027078,0.3
gaussian,HMC,0.08142716,0.3
gaussian,HMC,0.02802412,0.3
gaussian,NNgHMC,0.03525528,0.3
gaussian,NNgHMC,0.1100745,0.3
gaussian,NNgHMC,0.12975858,0.3
gaussian,NNgHMC,0.08309013,0.3
gaussian,NNgHMC,0.03006118,0.3
gaussian,Explicit NNODEgHMC,0.00265451,0.3
gaussian,Explicit NNODEgHMC,0.08551461,0.3
